mes,BAA10Y,NFCI,z_baa10y_fechado,z_nfci_fechado,mudanca_regime
1992-06,1.86,-0.916,-0.43464797310053266,-1.8360257759156702,0
1992-07,1.97,-0.939,-0.038293703547284924,-1.8195421530759435,0
1992-08,2.06,-0.899,0.4539211997293885,-1.7342895706644608,0
1992-09,2.29,-0.804,0.8089870137613154,-1.5366247636944979,0
1992-10,2.19,-0.681,1.7057743838888726,-1.2562824765123661,1
1992-11,2.0,-0.734,1.2045039016710843,-0.9323413184621661,0
1992-12,2.06,-0.881,0.3962085324143291,-0.9935425440147344,1
1993-01,2.11,-0.957,0.6295297257177744,-1.2426674032418863,0
1993-02,2.2,-0.956,0.7939333536506621,-1.3241390725141158,0
1993-03,2.18,-0.974,1.1113684640556907,-1.2457726898413715,1
1993-04,2.12,-0.994,0.976116622910811,-1.2111958076754124,0
1993-05,2.1,-0.983,0.6777775824542505,-1.1837669126075172,0
1993-06,2.16,-1.021,0.5465193802202353,-1.0969962155141517,0
1993-07,2.05,-1.092,0.7788354948979946,-1.1114924767247472,0
1993-08,1.91,-1.09,0.2356274698937493,-1.185714970015987,1
1993-09,2.0,-1.05,-0.46633975599808064,-1.121996753296575,0
1993-10,1.96,-0.966,-0.0377948732032034,-0.9984501701290189,0
1993-11,1.91,-0.938,-0.21017798610676253,-0.7875172234866942,0
1993-12,1.94,-1.005,-0.41489803995829183,-0.6966726341785882,0
1994-01,1.85,-1.013,-0.21845269704028591,-0.8697891400795734,0
1994-02,1.77,-0.92,-0.6479963745079245,-0.915034136367928,0
1994-03,1.59,-0.791,-1.0251016805890676,-0.5766799772040055,0
1994-04,1.48,-0.72,-1.840406687173664,-0.01583597928770554,0
1994-05,1.51,-0.72,-2.192653424724222,0.36778650912951366,0
1994-06,1.52,-0.715,-1.9215262215248607,0.4758359003765522,0
1994-07,1.49,-0.77,-1.8082404395148388,0.6354314548921629,0
1994-08,1.55,-0.806,-1.883584804646706,0.4126228330539351,0
1994-09,1.5,-0.694,-1.555760296773913,0.24744339083665576,0
1994-10,1.4,-0.6,-1.6449548684288444,1.0441830343535972,1
1994-11,1.3,-0.502,-1.8786125926523511,1.6996992677833642,0
1994-12,1.3,-0.403,-2.0534517755723,2.2444409084883734,0
1995-01,1.33,-0.504,-1.9366710086119034,2.602235342315175,0
1995-02,1.53,-0.621,-1.696748868716209,1.8974754658270556,0
1995-03,1.49,-0.637,-0.9619692760466848,1.210120409324714,0
1995-04,1.51,-0.67,-1.062159335371961,1.1030268801905834,0
1995-05,1.66,-0.708,-0.9753867235233633,0.8927091471632174,0
1995-06,1.74,-0.668,-0.4669559477439431,0.6511124458148102,0
1995-07,1.72,-0.676,-0.19173832396591284,0.831214456099476,0
1995-08,1.73,-0.708,-0.23578450985204122,0.7449728581846616,0
1995-09,1.71,-0.693,-0.17420308972711934,0.5373458805223764,0
1995-10,1.7,-0.71,-0.19567255355057397,0.600307536269269,0
1995-11,1.81,-0.748,-0.18916617754250126,0.5122492886527915,0
1995-12,1.8,-0.74,0.2309794213813577,0.3041956483249476,1
1996-01,1.82,-0.789,0.22503092072417044,0.32721325859975964,0
1996-02,1.78,-0.817,0.33886391451981024,0.029776331298322026,0
1996-03,1.78,-0.716,0.24172446682763668,-0.15082396857070793,0
1996-04,1.61,-0.682,0.3017368283207424,0.38750299396062426,0
1996-05,1.48,-0.714,-0.3759472353081018,0.5429837719808469,0
1996-06,1.51,-0.698,-0.9099836638912603,0.31814914390647,0
1996-07,1.5,-0.709,-0.7387774775636686,0.37235201098210957,0
1996-08,1.48,-0.742,-0.7490025743869801,0.25471904313598914,0
1996-09,1.5,-0.728,-0.8061868725254606,-0.02969096278497812,0
1996-10,1.54,-0.762,-0.6605898658804279,0.007121404102991732,0
1996-11,1.65,-0.767,-0.39291506773361107,-0.3168034046705719,0
1996-12,1.54,-0.702,0.3125738575822419,-0.4147429175956437,0
1997-01,1.5,-0.706,-0.3199550192361365,0.07616082450234364,0
1997-02,1.49,-0.733,-0.5426045896130645,-0.048013258318624054,0
1997-03,1.4,-0.688,-0.5700834713236607,-0.4316202289105308,0
1997-04,1.5,-0.635,-1.1451804208972831,0.06600469215746829,0
1997-05,1.51,-0.625,-0.45825472179483184,0.6702494078209184,0
1997-06,1.5,-0.638,-0.38893888152334455,0.7531049549926335,0
1997-07,1.54,-0.655,-0.45370887302873314,0.5716287019237367,0
1997-08,1.44,-0.646,-0.18713948317042786,0.33725193762592687,0
1997-09,1.54,-0.611,-0.8514144103030084,0.403905748130847,0
1997-10,1.6,-0.509,-0.172223740956787,0.8002525208268515,0
1997-11,1.52,-0.47,0.20667564736695465,1.9286048973425696,1
1997-12,1.53,-0.511,-0.419580455079343,2.320583534370784,0
1998-01,1.68,-0.598,-0.41848410104879996,2.0771379078253998,0
1998-02,1.67,-0.639,0.7264755785707682,1.0741778475960506,0
1998-03,1.67,-0.626,0.6099021858695927,0.5368988835788385,0
1998-04,1.66,-0.603,0.5722329263951885,0.7049363893328942,0
1998-05,1.63,-0.569,0.4561771786971472,0.9734881440462608,0
1998-06,1.67,-0.555,0.2110518016049613,1.3370769384061425,0
1998-07,1.71,-0.509,0.5734635437645614,1.431536814342276,0
1998-08,2.06,-0.309,0.9206595132163293,1.846687776125023,0
1998-09,2.57,-0.059,3.251603028402218,3.3510529143327306,1
1998-10,2.65,0.005,4.435821455300887,4.046715754163958,0
1998-11,2.45,-0.107,3.658348593740898,3.4989606209309203,0
1998-12,2.58,-0.185,2.571159919622159,2.5176132565724103,0
1999-01,2.55,-0.269,2.6252931096099075,1.938524947398299,0
1999-02,2.24,-0.351,2.2819739961305316,1.435985890864567,0
1999-03,2.31,-0.403,1.354885023206013,0.9881139181925502,0
1999-04,2.22,-0.424,1.4558602304723212,0.6968761170983869,0
1999-05,2.18,-0.398,1.156935616033628,0.5618669907232788,0
1999-06,2.18,-0.327,0.9983474455740595,0.6478391095820023,0
1999-07,2.19,-0.207,0.9454377164523503,0.9391321564096052,0
1999-08,2.23,-0.145,0.918812580370015,1.4253882127160524,0
1999-09,2.3,-0.093,0.964156747415353,1.6070920023176989,0
1999-10,2.28,-0.102,1.076815253756998,1.7193916228073511,0
1999-11,1.99,-0.16,0.9718512307563706,1.5764547159959186,0
1999-12,1.73,-0.165,0.2319294392707385,1.2493280371513047,1
2000-01,1.68,-0.205,-0.4311114581472194,1.1608951437457118,0
2000-02,1.91,-0.187,-0.5748857234539165,0.9289275166952812,0
2000-03,2.3,-0.087,-0.02217971839202721,0.960200531375644,0
2000-04,2.34,-0.026,0.9309259442760575,1.347942202594237,0
2000-05,2.52,0.033,0.9801396757791053,1.5309495451981445,0
2000-06,2.4,0.006,1.3700921918874556,1.6813387105803979,1
2000-07,2.27,-0.111,1.0018253259109124,1.4708240050191763,0
