mes,BIL,IJR,IWM,SPY,VB,VFMF
2017-06,73.45740509033203,61.262001037597656,125.54259490966797,210.15475463867188,118.72974395751953,
2017-07,73.48151397705078,61.87366485595703,126.61287689208984,214.47430419921875,120.14004516601562,
2017-08,73.56519317626953,60.35326385498047,125.02020263671875,215.10009765625,119.01879119873047,
2017-09,73.61827087402344,65.05705261230469,132.9016876220703,219.43421936035156,124.27123260498047,
2017-10,73.6697769165039,65.6180419921875,133.8702850341797,224.60494995117188,126.21459197998047,
2017-11,73.71003723144531,67.91459655761719,137.8076629638672,231.47023010253906,130.06625366210938,
2017-12,73.76490783691406,67.55758666992188,137.2584991455078,234.27748107910156,130.65309143066406,
2018-01,73.86176300048828,69.2551040649414,140.7696075439453,247.481201171875,134.17135620117188,
2018-02,73.92313385009766,66.61647033691406,135.35891723632812,238.48269653320312,128.85858154296875,66.10816192626953
2018-03,74.01936340332031,67.93817901611328,137.00692749023438,231.94573974609375,130.26763916015625,66.1946029663086
2018-04,74.0963134765625,68.65277099609375,138.35142517089844,233.1444091796875,130.75526428222656,66.3415298461914
2018-05,74.20729064941406,73.08140563964844,146.87879943847656,238.81201171875,137.42291259765625,68.70964050292969
2018-06,74.31764221191406,73.84436798095703,147.7811737060547,240.18536376953125,138.3575897216797,68.63237762451172
2018-07,74.42085266113281,76.23329162597656,150.21823120117188,249.08340454101562,140.8728485107422,70.34088134765625
2018-08,74.53887176513672,79.9051742553711,156.69357299804688,257.0340270996094,147.23655700683594,72.55986785888672
2018-09,74.64319610595703,77.44175720214844,153.05039978027344,258.5622863769531,145.07583618164062,71.6573486328125
2018-10,74.77051544189453,69.28392028808594,136.2334747314453,240.69454956054688,130.3968963623047,65.90969848632812
2018-11,74.9095458984375,70.39351654052734,138.58531188964844,245.15924072265625,133.25238037109375,66.12879180908203
2018-12,75.04643249511719,61.808555603027344,121.99362182617188,223.5733642578125,118.44526672363281,59.012184143066406
2019-01,75.177734375,68.37995147705078,135.8056182861328,241.47390747070312,132.3187713623047,64.17596435546875
2019-02,75.31669616699219,71.34912109375,142.83914184570312,249.301513671875,138.74404907226562,66.8033218383789
2019-03,75.44847106933594,69.0201644897461,139.84910583496094,253.81396484375,137.55360412597656,65.80564880371094
2019-04,75.59370422363281,71.68611145019531,144.59933471679688,264.18292236328125,142.48680114746094,67.65221405029297
2019-05,75.75414276123047,65.45952606201172,133.244384765625,247.3355712890625,132.26031494140625,62.450408935546875
2019-06,75.89166259765625,70.26296997070312,142.5513916015625,264.54681396484375,141.47735595703125,66.94163513183594
2019-07,76.02860260009766,71.09772491455078,143.5231170654297,268.5466613769531,143.1752166748047,67.81546783447266
2019-08,76.15746307373047,67.83949279785156,136.44598388671875,264.0502014160156,137.49473571777344,65.02462768554688
2019-09,76.28072357177734,70.11998748779297,139.2255096435547,269.18817138671875,139.37393188476562,66.89730834960938
2019-10,76.4032974243164,71.54329681396484,143.00645446777344,275.1385498046875,141.67437744140625,68.1010971069336
2019-11,76.4859848022461,73.69625854492188,148.82057189941406,285.09796142578125,147.62466430664062,70.406005859375
2019-12,76.57135009765625,75.9111099243164,152.967529296875,293.3817138671875,150.8233642578125,72.19867706298828
2020-01,76.66349029541016,72.86022186279297,148.22161865234375,293.26324462890625,147.7821502685547,69.62886047363281
2020-02,76.75404357910156,65.8982925415039,135.1103515625,270.0466613769531,135.17103576660156,62.17616271972656
2020-03,76.9109878540039,51.038490295410156,106.09259033203125,236.3256072998047,105.48780822753906,50.53514099121094
2020-04,76.89584350585938,57.62409210205078,120.78390502929688,266.3351135253906,120.83946228027344,56.84644317626953
2020-05,76.88243865966797,60.161922454833984,128.74594116210938,279.02471923828125,130.08697509765625,59.731163024902344
2020-06,76.88243865966797,62.33662796020508,133.161865234375,283.97308349609375,133.45736694335938,60.705074310302734
